CLUSTER NUMBER,CLUSTER ID,PROTEIN CLASS,GENE ID,MAPPED IDS,GENE NAME/GENE SYMBOL/ORTHOLOG,PANTHER FAMILY/SUBFAMILY,PANTHER PROTEIN CLASS,SPECIES
Cluster 1,Cortex 4DPI & 10DPI,transfer/carrier protein (PC00219),MOUSE|MGI=MGI=98821|UniProtKB=Q921I1,Q921I1,Serotransferrin;Tf;ortholog,SEROTRANSFERRIN (PTHR11485:SF31),transfer/carrier protein(PC00219),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transfer/carrier protein (PC00219),MOUSE|MGI=MGI=1353496|UniProtKB=P51881,P51881,ADP/ATP translocase 2;Slc25a5;ortholog,ADP/ATP TRANSLOCASE 2 (PTHR45635:SF3),transfer/carrier protein(PC00219),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=88105|UniProtKB=Q8VDN2,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1;Atp1a1;ortholog,SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA-1 (PTHR43294:SF9),primary active transporter(PC00068),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=88115|UniProtKB=Q03265,Q03265,"ATP synthase subunit alpha, mitochondrial;Atp5f1a;ortholog","ATP SYNTHASE SUBUNIT ALPHA, MITOCHONDRIAL (PTHR48082:SF2)",ATP synthase(PC00002),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=107777|UniProtKB=P97450,P97450,"ATP synthase-coupling factor 6, mitochondrial;Atp5pf;ortholog","ATP SYNTHASE-COUPLING FACTOR 6, MITOCHONDRIAL (PTHR12441:SF10)",ATP synthase(PC00002),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=88108|UniProtKB=P14094,P14094,Sodium/potassium-transporting ATPase subunit beta-1;Atp1b1;ortholog,SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-1 (PTHR11523:SF10),primary active transporter(PC00068),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=107801|UniProtKB=P56480,P56480,"ATP synthase subunit beta, mitochondrial;Atp5f1b;ortholog","ATP SYNTHASE SUBUNIT BETA, MITOCHONDRIAL (PTHR15184:SF60)",ATP synthase(PC00002),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=106919|UniProtKB=Q60932,Q60932,Voltage-dependent anion-selective channel protein 1;Vdac1;ortholog,VOLTAGE-DEPENDENT ANION-SELECTIVE CHANNEL PROTEIN 1 (PTHR11743:SF13),voltage-gated ion channel(PC00241),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=106341|UniProtKB=Q9DB20,Q9DB20,"ATP synthase subunit O, mitochondrial;Atp5po;ortholog","ATP SYNTHASE SUBUNIT O, MITOCHONDRIAL (PTHR11910:SF1)",ATP synthase(PC00002),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=1918929|UniProtKB=Q9DCX2,Q9DCX2,"ATP synthase subunit d, mitochondrial;Atp5pd;ortholog","ATP SYNTHASE SUBUNIT D, MITOCHONDRIAL (PTHR12700:SF12)",ATP synthase(PC00002),Mus musculus
Cluster 1,Cortex 4DPI & 10DPI,transporter (PC00227) ,MOUSE|MGI=MGI=1927558|UniProtKB=P56135,P56135,"ATP synthase subunit f, mitochondrial;Atp5mf;ortholog","ATP SYNTHASE SUBUNIT F, MITOCHONDRIAL (PTHR13080:SF16)",ATP synthase(PC00002),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=96819|UniProtKB=P10107,P10107,Annexin A1;Anxa1;ortholog,ANNEXIN A1 (PTHR10502:SF17),calcium-binding protein(PC00060),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=1201378|UniProtKB=O35639,O35639,Annexin A3;Anxa3;ortholog,ANNEXIN A3 (PTHR10502:SF25),calcium-binding protein(PC00060),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=88246|UniProtKB=P07356,P07356,Annexin A2;Anxa2;ortholog,ANNEXIN A2-RELATED (PTHR10502:SF18),calcium-binding protein(PC00060),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",chaperone (PC00072),MOUSE|MGI=MGI=97464|UniProtKB=P09103,P09103,Protein disulfide-isomerase;P4hb;ortholog,PROTEIN DISULFIDE-ISOMERASE (PTHR18929:SF101),chaperone(PC00072),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",chaperone (PC00072),MOUSE|MGI=MGI=96247|UniProtKB=P11499,P11499,Heat shock protein HSP 90-beta;Hsp90ab1;ortholog,HEAT SHOCK PROTEIN HSP 90-BETA (PTHR11528:SF79),Hsp90 family chaperone(PC00028),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",chaperone (PC00072),MOUSE|MGI=MGI=97749|UniProtKB=P17742,P17742,Peptidyl-prolyl cis-trans isomerase A;Ppia;ortholog,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A (PTHR11071:SF490),chaperone(PC00072),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",chaperone (PC00072),MOUSE|MGI=MGI=95834|UniProtKB=P27773,P27773,Protein disulfide-isomerase A3;Pdia3;ortholog,PROTEIN DISULFIDE-ISOMERASE A3 (PTHR18929:SF132),chaperone(PC00072),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",chaperone (PC00072),MOUSE|MGI=MGI=98817|UniProtKB=P08113,P08113,Endoplasmin;Hsp90b1;ortholog,ENDOPLASMIN (PTHR11528:SF97),Hsp90 family chaperone(PC00028),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1931526|UniProtKB=P15864,P15864,Histone H1.2;H1-2;ortholog,HISTONE H1.2 (PTHR11467:SF86),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=107502|UniProtKB=P43277,P43277,Histone H1.3;H1-3;ortholog,HISTONE H1.3 (PTHR11467:SF137),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=2448316|UniProtKB=Q64523,Q64523,Histone H2A type 2-C;H2ac20;ortholog,HISTONE H2A TYPE 2-C (PTHR23430:SF130),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1924855|UniProtKB=Q3THW5,Q3THW5,Histone H2A.V;H2az2;ortholog,HISTONE H2A.V (PTHR23430:SF280),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=102688|UniProtKB=P27661,P27661,Histone H2AX;H2ax;ortholog,HISTONE H2AX (PTHR23430:SF199),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1913976|UniProtKB=Q6KCD5,Q6KCD5,Nipped-B-like protein;Nipbl;ortholog,NIPPED-B-LIKE PROTEIN (PTHR21704:SF18),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1931523|UniProtKB=P43275,P43275,Histone H1.1;H1-1;ortholog,HISTONE H1.1 (PTHR11467:SF153),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1931527|UniProtKB=P43274,P43274,Histone H1.4;H1-4;ortholog,HISTONE H1.4 (PTHR11467:SF20),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=2448377|UniProtKB=Q64475,Q64475,Histone H2B type 1-B;H2bc3;ortholog,HISTONE H2B TYPE 1-N (PTHR23428:SF314),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1861461|UniProtKB=P43276,P43276,Histone H1.5;H1-5;ortholog,HISTONE H1.5 (PTHR11467:SF24),histone(PC00118),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=2444552|UniProtKB=Q8BFZ3,Q8BFZ3,Beta-actin-like protein 2;Actbl2;ortholog,BETA-ACTIN-LIKE PROTEIN 2 (PTHR11937:SF168),actin and actin related protein(PC00039),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=97167|UniProtKB=P26041,P26041,Moesin;Msn;ortholog,MOESIN (PTHR23281:SF26),actin or actin-binding cytoskeletal protein(PC00041),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=99705|UniProtKB=D3Z2H9,D3Z2H9,"Tropomyosin 3, related sequence 7;Tpm3-rs7;ortholog","TROPOMYOSIN 3, RELATED SEQUENCE 7 (PTHR19269:SF73)",actin binding motor protein(PC00040),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=107812|UniProtKB=P99024,P99024,Tubulin beta-5 chain;Tubb5;ortholog,TUBULIN BETA CHAIN (PTHR11588:SF61),tubulin(PC00228),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=107804|UniProtKB=P05213,P05213,Tubulin alpha-1B chain;Tuba1b;ortholog,TUBULIN ALPHA-1B CHAIN (PTHR11588:SF251),tubulin(PC00228),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=104568|UniProtKB=P49710,P49710,Hematopoietic lineage cell-specific protein;Hcls1;ortholog,HEMATOPOIETIC LINEAGE CELL-SPECIFIC PROTEIN (PTHR10829:SF5),non-motor actin binding protein(PC00165),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=95851|UniProtKB=P13020,P13020,Gelsolin;Gsn;ortholog,GELSOLIN (PTHR11977:SF29),non-motor actin binding protein(PC00165),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=87906|UniProtKB=P63260,P63260,"Actin, cytoplasmic 2;Actg1;ortholog","ACTIN, CYTOPLASMIC 2 (PTHR11937:SF414)",actin and actin related protein(PC00039),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=96832|UniProtKB=P19973,P19973,Lymphocyte-specific protein 1;Lsp1;ortholog,LYMPHOCYTE-SPECIFIC PROTEIN 1 (PTHR18949:SF1),non-motor actin binding protein(PC00165),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=2449202|UniProtKB=Q6IRU2,Q6IRU2,Tropomyosin alpha-4 chain;Tpm4;ortholog,TROPOMYOSIN ALPHA-4 CHAIN (PTHR19269:SF70),actin binding motor protein(PC00040),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=104808|UniProtKB=Q61233,Q61233,Plastin-2;Lcp1;ortholog,PLASTIN-2 (PTHR19961:SF35),non-motor actin binding protein(PC00165),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=97549|UniProtKB=P62962,P62962,Profilin-1;Pfn1;ortholog,PROFILIN-1 (PTHR13936:SF14),non-motor actin binding protein(PC00165),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=101757|UniProtKB=P18760,P18760,Cofilin-1;Cfl1;ortholog,COFILIN-1 (PTHR11913:SF17),non-motor actin binding protein(PC00165),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=88262|UniProtKB=P40124,P40124,Adenylyl cyclase-associated protein 1;Cap1;ortholog,ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1 (PTHR10652:SF1),actin or actin-binding cytoskeletal protein(PC00041),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",cytoskeletal protein (PC00085),MOUSE|MGI=MGI=1345961|UniProtKB=O89053,O89053,Coronin-1A;Coro1a;ortholog,CORONIN-1A (PTHR10856:SF18),non-motor actin binding protein(PC00165),Mus musculus
